Gemeindekennziffer;Gemeindename;Gemeindecode;Ortschaftkennziffer;Ortschaftsname;Postleitzahl
10101;Eisenstadt;10101;00001;Eisenstadt;7000
10101;Eisenstadt;10101;00002;Kleinhöflein im Burgenland;7000
10101;Eisenstadt;10101;00003;Sankt Georgen am Leithagebirge;7000
10201;Rust;10201;00004;Rust;7071
10301;Breitenbrunn am Neusiedler See;10301;00005;Breitenbrunn am Neusiedler See;7091
10302;Donnerskirchen;10302;00006;Donnerskirchen;7082
10303;Großhöflein;10303;00007;Großhöflein;7051
10304;Hornstein;10304;00008;Hornstein / Voritan;2491 7053
10305;Klingenbach;10305;00009;Klingenbach / Klimpuh;7013
10306;Leithaprodersdorf;10306;00010;Leithaprodersdorf;2443
10307;Mörbisch am See;10307;00013;Mörbisch am See;7072
10308;Müllendorf;10308;00014;Müllendorf;7052
10309;Neufeld an der Leitha;10316;00015;Neufeld an der Leitha;2491 2491
10310;Oggau am Neusiedler See;10310;00016;Oggau am Neusiedler See;7063
10311;Oslip;10311;00017;Oslip / Uzlop;7064
10312;Purbach am Neusiedler See;10312;00018;Purbach am Neusiedler See;7083
10313;Sankt Margarethen im Burgenland;10313;00019;Sankt Margarethen im Burgenland;7062
10314;Schützen am Gebirge;10314;00020;Schützen am Gebirge;7081
10315;Siegendorf;10315;00021;Siegendorf / Cindrof;7011
10316;Steinbrunn;10316;00023;Steinbrunn / tikapron;2491 7035
10317;Trausdorf an der Wulka;10317;00025;Trausdorf an der Wulka / Trajtof;7061
10318;Wimpassing an der Leitha;10318;00026;Wimpassing an der Leitha;2485
10319;Wulkaprodersdorf;10319;00027;Wulkaprodersdorf / Vulkaprodrtof;7041
10320;Loretto;10320;00011;Loretto;2443
10321;Stotzing;10321;00012;Stotzing;2443
10322;Zillingtal;10322;00024;Zillingtal / Celindof;7033 7034 7035
10323;Zagersdorf;10323;00022;Zagersdorf / Cogrtof;7011
10401;Bocksdorf;10401;00028;Bocksdorf;7551
10402;Burgauberg-Neudauberg;10402;00031;Burgauberg;8291
10402;Burgauberg-Neudauberg;10402;00032;Neudauberg;8292
10403;Eberau;10403;00033;Eberau;7521
10403;Eberau;10403;00034;Gaas;7521
10403;Eberau;10403;00035;Kroatisch Ehrensdorf;7522
10403;Eberau;10403;00036;Kulm im Burgenland;7521
10403;Eberau;10403;00039;Winten;7521
10404;Gerersdorf-Sulz;10404;00040;Gerersdorf bei Güssing;7542
10404;Gerersdorf-Sulz;10404;00041;Rehgraben;7540
10404;Gerersdorf-Sulz;10404;00042;Sulz im Burgenland;7540 7542
10405;Güssing;10405;00043;Glasing;7540
10405;Güssing;10405;00044;Güssing;7540
10405;Güssing;10405;00045;Krottendorf;7540
10405;Güssing;10405;00046;Sankt Nikolaus;7540
10405;Güssing;10405;00047;Steingraben;7540 7542
10405;Güssing;10405;00048;Urbersdorf;7540
10406;Güttenbach;10406;00049;Güttenbach / Pinkovac;7535
10407;Heiligenbrunn;10407;00050;Deutsch Bieling;7522
10407;Heiligenbrunn;10407;00051;Hagensdorf im Burgenland;7522
10407;Heiligenbrunn;10407;00052;Heiligenbrunn;7522
10407;Heiligenbrunn;10407;00053;Luising;7522
10407;Heiligenbrunn;10407;00054;Reinersdorf;7522
10408;Kukmirn;10408;00055;Eisenhüttl;7543
10408;Kukmirn;10408;00056;Kukmirn;7543
10408;Kukmirn;10408;00057;Limbach;7543
10408;Kukmirn;10408;00058;Neusiedl;7543
10409;Neuberg im Burgenland;10409;00059;Neuberg im Burgenland / Nova Gora;7535
10410;Neustift bei Güssing;10410;00063;Neustift bei Güssing;7540
10411;Olbendorf;10411;00065;Olbendorf;7534
10412;Ollersdorf im Burgenland;10412;00067;Ollersdorf im Burgenland;7533 8292
10413;Sankt Michael im Burgenland;10413;00069;Gamischdorf;7535
10413;Sankt Michael im Burgenland;10413;00071;Sankt Michael im Burgenland;7535
10413;Sankt Michael im Burgenland;10413;00072;Schallendorf im Burgenland;7535
10414;Stegersbach;10414;00073;Stegersbach;7551
10415;Stinatz;10415;00074;Stinatz / Stinjaki;7552
10416;Strem;10416;00075;Deutsch Ehrensdorf;7522
10416;Strem;10416;00077;Steinfurt;7522
10416;Strem;10416;00078;Strem;7522
10416;Strem;10416;00079;Sumetendorf;7522
10417;Tobaj;10417;00080;Deutsch Tschantschendorf;7535
10417;Tobaj;10417;00081;Hasendorf im Burgenland;7540
10417;Tobaj;10417;00082;Kroatisch Tschantschendorf;7535
10417;Tobaj;10417;00083;Punitz;7535 7540
10417;Tobaj;10417;00084;Tobaj;7540
10417;Tobaj;10417;00085;Tudersdorf;7535
10418;Hackerberg;10418;00066;Hackerberg;8292
10419;Wörterberg;10419;00068;Wörterberg;8293
10420;Großmürbisch;10420;00060;Großmürbisch;7540
10421;Inzenhof;10421;00061;Inzenhof;7540
10422;Kleinmürbisch;10422;00062;Kleinmürbisch;7540
10423;Tschanigraben;10423;00064;Tschanigraben;7540
10424;Heugraben;10424;00029;Heugraben;7551
10425;Rohr im Burgenland;10425;00030;Rohr im Burgenland;7551
10426;Bildein;10426;00037;Oberbildein;7521
10426;Bildein;10426;00038;Unterbildein;7521
10427;Rauchwart;10427;00070;Rauchwart;7535
10428;Moschendorf;10428;00076;Moschendorf;7540
10501;Deutsch Kaltenbrunn;10501;00086;Deutsch Kaltenbrunn;7572
10501;Deutsch Kaltenbrunn;10501;00087;Rohrbrunn;7572
10502;Eltendorf;10502;00088;Eltendorf;7562
10502;Eltendorf;10502;00090;Zahling;7562
10503;Heiligenkreuz im Lafnitztal;10503;00091;Heiligenkreuz im Lafnitztal;7561
10503;Heiligenkreuz im Lafnitztal;10503;00092;Poppendorf im Burgenland;7561
10504;Jennersdorf;10504;00093;Grieselstein;8380
10504;Jennersdorf;10504;00094;Henndorf im Burgenland;8282 8380
10504;Jennersdorf;10504;00095;Jennersdorf;8380
10504;Jennersdorf;10504;00096;Rax;8380
10505;Minihof-Liebau;10505;00097;Minihof-Liebau;8384
10505;Minihof-Liebau;10505;00098;Tauka;8384
10505;Minihof-Liebau;10505;00099;Windisch-Minihof;8384
10506;Mogersdorf;10506;00100;Deutsch Minihof;8382
10506;Mogersdorf;10506;00101;Mogersdorf;8382
10506;Mogersdorf;10506;00102;Wallendorf;8382
10507;Neuhaus am Klausenbach;10507;00103;Bonisdorf;8384 8385
10507;Neuhaus am Klausenbach;10507;00104;Kalch;8385
10507;Neuhaus am Klausenbach;10507;00105;Krottendorf bei Neuhaus am Klausenbach;8385
10507;Neuhaus am Klausenbach;10507;00107;Neuhaus am Klausenbach;8385
10508;Rudersdorf;10508;00108;Dobersdorf;7564
10508;Rudersdorf;10508;00109;Rudersdorf;7571
10509;Sankt Martin an der Raab;10509;00110;Doiber;8383
10509;Sankt Martin an der Raab;10509;00111;Gritsch;8383
10509;Sankt Martin an der Raab;10509;00112;Neumarkt an der Raab;8380
10509;Sankt Martin an der Raab;10509;00113;Oberdrosen;8383 8384
10509;Sankt Martin an der Raab;10509;00114;Sankt Martin an der Raab;8383
10509;Sankt Martin an der Raab;10509;00115;Welten;8350 8383 8385
10509;Sankt Martin an der Raab;10509;17523;Eisenberg an der Raab;8383
10510;Weichselbaum;10510;00116;Krobotek;8382
10510;Weichselbaum;10510;00117;Maria Bild;8382
10510;Weichselbaum;10510;00118;Rosendorf;8382
10510;Weichselbaum;10510;00119;Weichselbaum;8382
10511;Königsdorf;10511;00089;Königsdorf;7563
10512;Mühlgraben;10512;00106;Mühlgraben;8385
10601;Draßburg;10601;00121;Draßburg / Rasporak;7021
10602;Forchtenstein;10602;00122;Forchtenstein;7212
10603;Hirm;10603;00125;Hirm;7024
10604;Loipersbach im Burgenland;10604;00126;Loipersbach im Burgenland;7022
10605;Marz;10605;00127;Marz;7221
10606;Mattersburg;10606;00128;Mattersburg;7210
10606;Mattersburg;10606;00129;Walbersdorf;7210
10607;Neudörfl;10607;00130;Neudörfl;7201
10608;Pöttelsdorf;10608;00131;Pöttelsdorf;7023
10609;Pöttsching;10609;00134;Pöttsching;7033 7202
10610;Rohrbach bei Mattersburg;10610;00135;Rohrbach bei Mattersburg;7222
10611;Bad Sauerbrunn;10611;00136;Bad Sauerbrunn;7202
10612;Schattendorf;10612;00137;Schattendorf;7022
10613;Sieggraben;10613;00138;Sieggraben;7223
10614;Sigleß;10614;00140;Sigleß;7032
10615;Wiesen;10615;00141;Wiesen;7202 7203
10616;Antau;10616;00124;Antau / Otava;7041 7041
10617;Baumgarten;10617;00120;Baumgarten / Pajngrt;7021
10618;Zemendorf-Stöttera;10618;00132;Stöttera;7023
10618;Zemendorf-Stöttera;10618;00133;Zemendorf;7023
10619;Krensdorf;10619;00139;Krensdorf;7031
10701;Andau;10701;00142;Andau;7163
10702;Apetlon;10702;00143;Apetlon;7132 7143 7161
10703;Bruckneudorf;10703;00144;Bruckneudorf;2460
10703;Bruckneudorf;10703;00145;Kaisersteinbruch;2460 2462
10703;Bruckneudorf;10703;00146;Königshof;2460 2462
10704;Deutsch Jahrndorf;10704;00147;Deutsch Jahrndorf;2423
10705;Frauenkirchen;10705;00148;Frauenkirchen;7132
10706;Gattendorf;10706;00149;Gattendorf;2474
10707;Gols;10707;00152;Gols;7122
10708;Halbturn;10708;00153;Halbturn;7123 7131
10709;Illmitz;10709;00154;Illmitz;7142
10710;Jois;10710;00155;Jois;7093
10711;Kittsee;10711;00157;Kittsee;2421
10712;Mönchhof;10712;00158;Mönchhof;7123
10713;Neusiedl am See;10713;00159;Neusiedl am See;7100
10714;Nickelsdorf;10714;00160;Nickelsdorf;2425
10715;Pama;10715;00161;Pama / Bijelo Selo;2422
10716;Pamhagen;10716;00162;Pamhagen;7152
10717;Parndorf;10717;00163;Parndorf / Pandrof;2471 7111
10718;Podersdorf am See;10718;00164;Podersdorf am See;7141
10719;Sankt Andrä am Zicksee;10719;00165;Sankt Andrä am Zicksee;7161
10720;Tadten;10720;00166;Tadten;7162
10721;Wallern im Burgenland;10721;00167;Wallern im Burgenland;7151
10722;Weiden am See;10722;00168;Weiden am See;7100 7121
10723;Winden am See;10723;00169;Winden am See;7092
10724;Zurndorf;10724;00170;Zurndorf;2424
10725;Neudorf;10725;00150;Neudorf / Novo Selo;2475
10726;Potzneusiedl;10726;00151;Potzneusiedl;2473
10727;Edelstal;10727;00156;Edelstal;2413
10801;Deutschkreutz;10801;00171;Deutschkreutz;7301
10801;Deutschkreutz;10801;01192;Girm;7301
10802;Draßmarkt;10802;00173;Draßmarkt;7372
10802;Draßmarkt;10802;00174;Karl;7372
10802;Draßmarkt;10802;00175;Oberrabnitz;7371
10803;Frankenau-Unterpullendorf;10803;00176;Frankenau / Frakanava;7361
10803;Frankenau-Unterpullendorf;10803;00177;Großmutschen / Mucindrof;7452
10803;Frankenau-Unterpullendorf;10803;00178;Kleinmutschen / Pervane;7452
10803;Frankenau-Unterpullendorf;10803;00179;Unterpullendorf / Dolnja Pulja;7452
10804;Großwarasdorf;10804;00180;Großwarasdorf / Veliki Boritof;7304
10804;Großwarasdorf;10804;00181;Kleinwarasdorf / Mali Boritof;7304
10804;Großwarasdorf;10804;00182;Langental / Longitolj;7304
10804;Großwarasdorf;10804;00183;Nebersdorf / uevo;7304
10805;Horitschon;10805;00184;Horitschon;7312
10805;Horitschon;10805;00185;Unterpetersdorf;7312
10806;Kaisersdorf;10806;00186;Kaisersdorf / Kalitrof;7342
10807;Kobersdorf;10807;00188;Kobersdorf;7332
10807;Kobersdorf;10807;00189;Lindgraben;7341
10807;Kobersdorf;10807;00190;Oberpetersdorf;7332
10808;Lackenbach;10808;00191;Lackenbach;7322
10809;Lockenhaus;10809;00192;Glashütten bei Langeck im Burgenland;7442
10809;Lockenhaus;10809;00193;Hammerteich;7442
10809;Lockenhaus;10809;00194;Hochstraß;7442
10809;Lockenhaus;10809;00195;Langeck im Burgenland;7442
10809;Lockenhaus;10809;00196;Lockenhaus;7442
10810;Lutzmannsburg;10810;00197;Lutzmannsburg;7361
10810;Lutzmannsburg;10810;00198;Strebersdorf;7361
10811;Mannersdorf an der Rabnitz;10811;00199;Klostermarienberg;7444
10811;Mannersdorf an der Rabnitz;10811;00200;Liebing;7443
10811;Mannersdorf an der Rabnitz;10811;00201;Mannersdorf an der Rabnitz;7444
10811;Mannersdorf an der Rabnitz;10811;00203;Rattersdorf;7443
10811;Mannersdorf an der Rabnitz;10811;00204;Unterloisdorf;7444
10812;Markt Sankt Martin;10812;00205;Landsee;2812 7341
10812;Markt Sankt Martin;10812;00206;Markt Sankt Martin;7341
10812;Markt Sankt Martin;10812;00207;Neudorf bei Landsee;7341
10813;Neckenmarkt;10813;00208;Haschendorf;7311
10813;Neckenmarkt;10813;00209;Neckenmarkt;7311
10814;Neutal;10814;00210;Neutal;7343
10815;Nikitsch;10815;00211;Kroatisch Geresdorf / Geritof;7361
10815;Nikitsch;10815;00212;Kroatisch Minihof / Mjenovo;7302
10815;Nikitsch;10815;00213;Nikitsch / File;7302
10816;Oberpullendorf;10816;00214;Mitterpullendorf;7304 7350
10816;Oberpullendorf;10816;00215;Oberpullendorf / Felsöpulya;7350
